node_id,frame_id,parent_node_id,H_to_global_det
0,23,,1.0
1,32,0,0.9751702009002037
2,47,1,0.8213163638780063
3,59,2,0.7984320027122889
4,65,3,0.7876316442883391
5,74,4,0.7784684342928327
6,80,5,0.7907150549177198
7,86,6,0.8029996963950417
8,92,7,0.7828347100164891
9,98,8,0.782616617906383
10,107,9,0.7968830504415108
11,119,10,0.8122876761116283
12,125,11,0.8217638888447558
13,140,12,0.8435412078533785
14,146,13,0.8383042965195399
15,152,14,0.8254472782408686
16,161,15,0.8104718479311862
17,167,16,0.7899998452859762
18,176,17,0.7867659434870131
19,182,18,0.779547055508652
20,188,19,0.7757661746636397
21,194,20,0.7565913372436265
22,193,21,0.7567355583102097
