persistent_id,provisional_id,class_name,confirmation_status,visibility_status,confidence,observation_count,keyframe_count,track_count,centroid_x,centroid_y,review_flags,best_frame_id,rejected_reason,merged_into_id
GO-0001,P-0001,electrical_tape,confirmed,active,1.000,21,21,4,1010.4,257.5,,152,,
GO-0002,P-0002,electrical_tape,confirmed,active,1.000,21,21,5,1028.9,350.8,,92,,
GO-0003,P-0003,telescopic_voltage_detector,confirmed,active,1.000,23,23,2,1142.5,298.2,,92,,
GO-0004,P-0004,headlamp,confirmed,active,1.000,23,23,8,1291.7,450.9,likely_duplicate,65,,
GO-0005,P-0005,insulating_glove,confirmed,active,1.000,17,17,2,1477.9,334.7,,152,,
GO-0006,P-0006,insulating_glove,confirmed,inactive,1.000,14,14,2,1411.4,329.5,likely_duplicate,92,,
GO-0007,P-0007,headlamp,confirmed,active,1.000,22,22,4,1367.0,513.6,likely_duplicate,92,,
GO-0008,P-0008,headlamp,confirmed,active,1.000,18,18,3,1289.4,504.9,likely_duplicate,107,,
GO-0009,P-0009,insulating_glove,confirmed,inactive,1.000,14,14,4,1357.2,322.4,likely_duplicate,152,,
GO-0010,P-0010,telescopic_voltage_detector,tentative,inactive,0.000,2,2,1,1442.1,535.1,,65,,
GO-0011,P-0011,headlamp,confirmed,active,1.000,16,16,5,1219.2,533.8,likely_duplicate,152,,
GO-0012,P-0012,pliers,confirmed,active,1.000,16,16,3,1643.5,600.8,likely_duplicate,107,,
GO-0013,P-0013,pliers,confirmed,active,1.000,13,13,8,1563.6,576.7,likely_duplicate,98,,
GO-0014,P-0014,tape_measure,confirmed,active,1.000,17,17,3,1594.5,352.4,,152,,
GO-0015,P-0015,tape_measure,confirmed,active,1.000,17,17,3,1639.3,406.0,,107,,
GO-0016,P-0016,flashlight,tentative,inactive,0.000,1,1,1,1602.0,578.7,,80,,
GO-0017,P-0017,tape_measure,tentative,inactive,0.000,2,2,2,1645.7,371.1,,86,,
GO-0018,P-0018,pliers,confirmed,active,1.000,9,9,1,1701.6,601.7,likely_duplicate,107,,
GO-0019,P-0019,cordless_drill,confirmed,active,1.000,14,14,3,1736.0,380.9,,182,,
GO-0020,P-0020,pliers,tentative,inactive,0.000,1,1,1,1769.4,578.2,,107,,
GO-0021,P-0021,pliers,confirmed,inactive,1.000,6,6,3,1744.3,599.6,likely_duplicate,107,,
GO-0022,P-0022,hammer,confirmed,active,1.000,12,12,2,1871.3,570.4,,152,,
GO-0023,P-0023,screwdriver,confirmed,active,1.000,7,7,4,1913.4,359.5,likely_duplicate,152,,
GO-0024,P-0024,screwdriver,confirmed,active,1.000,11,11,7,1885.3,379.2,likely_duplicate,152,,
GO-0025,P-0025,screwdriver,confirmed,active,1.000,11,11,3,1966.8,360.5,,152,,
GO-0026,P-0026,flashlight,confirmed,active,1.000,9,9,3,1962.3,538.9,,140,,
GO-0027,P-0027,pliers,confirmed,active,1.000,10,10,2,1524.1,571.5,likely_duplicate,152,,
GO-0028,P-0028,headlamp,tentative,active,0.000,3,3,3,1393.9,507.0,likely_duplicate,176,,
GO-0029,P-0029,pliers,confirmed,active,1.000,7,7,2,1715.3,601.0,likely_duplicate,188,,
GO-0030,P-0030,screwdriver,tentative,active,0.000,3,3,3,1664.0,606.9,,167,,
GO-0031,P-0031,headlamp,confirmed,active,1.000,7,7,2,1242.1,508.5,likely_duplicate,161,,
GO-0032,P-0032,screwdriver,tentative,active,0.000,4,4,4,1926.0,365.3,likely_duplicate,182,,
