event,primary_id,secondary_id,decision,reason
merge_audit,P-0003,P-0001,blocked,observation_frame_overlap
merge_audit,P-0010,P-0001,blocked,observation_frame_overlap
merge_audit,P-0002,P-0026,blocked,observation_frame_overlap
merge_audit,P-0008,P-0009,blocked,co_occurrence
merge_audit,P-0008,P-0012,blocked,observation_frame_overlap
merge_audit,P-0008,P-0007,blocked,co_occurrence
merge_audit,P-0009,P-0004,blocked,observation_frame_overlap
merge_audit,P-0009,P-0012,blocked,observation_frame_overlap
merge_audit,P-0009,P-0007,blocked,observation_frame_overlap
merge_audit,P-0009,P-0020,blocked,observation_frame_overlap
merge_audit,P-0004,P-0020,blocked,observation_frame_overlap
merge_audit,P-0012,P-0007,blocked,observation_frame_overlap
merge_audit,P-0023,P-0019,blocked,co_occurrence
merge_audit,P-0023,P-0025,blocked,co_occurrence
merge_audit,P-0019,P-0025,blocked,co_occurrence
merge_audit,P-0025,P-0036,blocked,observation_frame_overlap
merge_audit,P-0016,P-0021,blocked,observation_frame_overlap
merge_audit,P-0017,P-0022,blocked,observation_frame_overlap
merge_audit,P-0032,P-0027,blocked,observation_frame_overlap
merge_audit,P-0028,P-0033,blocked,observation_frame_overlap
merge_audit,P-0029,P-0031,blocked,observation_frame_overlap
merge_audit,P-0034,P-0031,blocked,observation_frame_overlap
