persistent_id,provisional_id,class_name,confirmation_status,visibility_status,confidence,observation_count,keyframe_count,track_count,centroid_x,centroid_y,review_flags,best_frame_id,rejected_reason,merged_into_id
GO-0001,P-0001,electrical_tape,confirmed,inactive,1.000,6,6,3,1009.4,289.6,likely_duplicate,74,,
GO-0002,P-0002,telescopic_voltage_detector,confirmed,active,1.000,20,20,6,1141.1,298.8,likely_duplicate,92,,
GO-0003,P-0003,electrical_tape,confirmed,active,1.000,27,27,4,1029.5,350.9,likely_duplicate,92,,
GO-0004,P-0004,headlamp,confirmed,active,1.000,19,19,3,1248.4,491.9,likely_duplicate,152,,
GO-0005,P-0005,insulating_glove,tentative,inactive,0.000,3,3,1,1325.3,284.4,,59,,
GO-0006,P-0006,insulating_glove,confirmed,active,1.000,29,29,3,1348.9,320.3,,152,,
GO-0007,P-0007,headlamp,confirmed,active,1.000,17,17,10,1358.8,509.0,likely_duplicate,146,,
GO-0008,P-0008,headlamp,confirmed,active,1.000,28,28,4,1205.5,539.9,likely_duplicate,182,,
GO-0009,P-0009,headlamp,confirmed,active,1.000,21,21,7,1275.5,474.1,likely_duplicate,104,,
GO-0010,P-0010,electrical_tape,confirmed,active,1.000,25,25,3,1010.5,257.1,likely_duplicate,152,,
GO-0011,P-0011,insulating_glove,confirmed,inactive,1.000,15,15,1,1456.3,329.6,likely_duplicate,92,,
GO-0012,P-0012,headlamp,confirmed,active,1.000,19,19,8,1369.7,508.5,likely_duplicate,92,,
GO-0013,P-0013,telescopic_voltage_detector,tentative,inactive,0.000,2,2,1,1428.6,526.5,,65,,
GO-0014,P-0014,pliers,confirmed,active,1.000,22,22,1,1500.0,558.9,likely_duplicate,152,,
GO-0015,P-0015,insulating_glove,confirmed,inactive,1.000,11,11,3,1467.4,332.3,likely_duplicate,152,,
GO-0016,P-0016,tape_measure,confirmed,active,1.000,19,19,7,1576.0,351.1,likely_duplicate,152,,
GO-0017,P-0017,tape_measure,confirmed,active,1.000,18,18,6,1615.1,401.9,likely_duplicate,110,,
GO-0018,P-0018,flashlight,tentative,inactive,0.000,1,1,1,1574.9,564.7,,80,,
GO-0019,P-0019,pliers,confirmed,active,1.000,18,18,6,1611.5,584.6,likely_duplicate,110,,
GO-0020,P-0020,headlamp,confirmed,active,1.000,17,17,8,1287.5,447.4,likely_duplicate,152,,
GO-0021,P-0021,tape_measure,tentative,inactive,0.000,4,4,3,1574.1,349.1,likely_duplicate,116,,
GO-0022,P-0022,tape_measure,confirmed,active,1.000,12,12,8,1615.8,401.1,likely_duplicate,182,,
GO-0023,P-0023,pliers,confirmed,active,1.000,19,19,4,1700.2,581.2,likely_duplicate,104,,
GO-0024,P-0024,cordless_drill,confirmed,active,1.000,18,18,1,1704.5,377.0,likely_duplicate,110,,
GO-0025,P-0025,pliers,confirmed,active,1.000,9,9,8,1541.2,561.6,likely_duplicate,170,,
GO-0026,P-0026,telescopic_voltage_detector,confirmed,active,1.000,14,14,4,1142.9,297.2,likely_duplicate,152,,
GO-0027,P-0027,hammer,confirmed,inactive,1.000,7,7,4,1804.6,544.9,likely_duplicate,134,,
GO-0028,P-0028,screwdriver,confirmed,active,1.000,14,14,8,1840.3,374.7,likely_duplicate,182,,
GO-0029,P-0029,screwdriver,confirmed,active,1.000,13,13,3,1913.9,357.6,likely_duplicate,152,,
GO-0030,P-0030,flashlight,confirmed,active,1.000,12,12,4,1898.9,522.2,,140,,
GO-0031,P-0031,screwdriver,tentative,inactive,0.000,4,4,3,1868.2,354.5,likely_duplicate,128,,
GO-0032,P-0032,hammer,confirmed,active,1.000,10,10,3,1816.5,550.3,likely_duplicate,152,,
GO-0033,P-0033,screwdriver,tentative,active,0.000,4,4,3,1848.8,370.4,likely_duplicate,152,,
GO-0034,P-0034,screwdriver,confirmed,active,1.000,5,5,5,1874.9,361.7,likely_duplicate,146,,
GO-0035,P-0035,cordless_drill,tentative,inactive,0.000,1,1,1,1706.7,378.2,likely_duplicate,152,,
GO-0036,P-0036,pliers,tentative,active,0.000,2,2,1,1513.3,561.2,likely_duplicate,182,,
