node_id,frame_id,parent_node_id,H_to_global_det
0,23,,1.0
1,32,0,0.9751702009002037
2,38,1,1.1276253788578694
3,44,2,1.091522942542451
4,50,3,1.0868129908971702
5,59,4,1.080157222676518
6,65,5,1.06554597823805
7,74,6,1.05314954695032
8,80,7,1.0697173644681726
9,86,8,1.0863366184242322
10,92,9,1.0590564547935462
11,98,10,1.058761409295445
12,104,11,1.0717724190864104
13,110,12,1.0728230814706778
14,116,13,1.0911276906405105
15,122,14,1.0993311071894682
16,128,15,1.1085094489767617
17,134,16,1.1210997211706577
18,140,17,1.114054706798532
19,146,18,1.1071383811155266
20,152,19,1.0901582720285048
21,158,20,1.078858896034287
22,164,21,1.0556903097077635
23,170,22,1.0336433903560487
24,176,23,1.0367778251882747
25,182,24,1.027264979544103
26,188,25,1.0222826421002447
27,194,26,0.9970145856938502
28,193,27,0.9972046361211673
